Date	Open	High	Low	Close*	Adj Close**	Volume
Aug 18, 2021	296.90	297.75	292.60	293.35	293.35	18,004,320
Aug 17, 2021	302.80	302.80	292.80	297.70	297.70	25,539,214
Aug 16, 2021	305.95	307.85	303.05	303.70	303.70	14,348,786
Aug 13, 2021	308.80	311.50	303.05	307.25	307.25	34,922,863
Aug 12, 2021	297.30	307.40	297.30	306.00	306.00	33,652,880
Aug 11, 2021	295.30	297.80	286.45	295.45	295.45	20,802,022
Aug 10, 2021	297.90	300.20	291.00	294.20	294.20	15,173,990
Aug 09, 2021	300.75	304.20	296.05	298.10	298.10	16,985,859
Aug 06, 2021	300.05	303.40	297.65	300.05	300.05	16,001,898
Aug 05, 2021	295.50	300.90	292.75	299.70	299.70	20,704,901
Aug 04, 2021	304.75	306.45	297.20	298.15	298.15	26,186,248
Aug 03, 2021	298.50	304.50	297.70	303.70	303.70	31,063,992
Aug 02, 2021	299.15	299.40	295.60	296.85	296.85	19,273,390
Jul 30, 2021	294.00	300.00	293.25	293.95	293.95	30,589,609
Jul 29, 2021	287.55	295.40	287.55	292.90	292.90	57,733,359
Jul 28, 2021	290.00	290.90	283.60	284.45	284.45	36,139,725
Jul 27, 2021	293.00	297.65	288.60	291.40	291.40	55,132,877
Jul 26, 2021	295.00	297.00	291.00	293.15	293.15	27,502,360
Jul 23, 2021	300.50	301.90	295.00	295.55	295.55	33,435,130
Jul 22, 2021	305.50	307.45	301.05	302.55	302.55	21,338,361
Jul 20, 2021	307.00	308.00	301.05	302.15	302.15	27,672,567
Jul 19, 2021	308.95	310.30	306.00	308.85	308.85	21,346,348
Jul 16, 2021	311.10	315.45	310.50	311.25	311.25	25,148,606
Jul 15, 2021	310.50	312.85	307.60	310.25	310.25	23,617,599
Jul 14, 2021	310.00	313.30	308.65	309.55	309.55	21,863,250
Jul 13, 2021	310.00	312.25	308.15	310.95	310.95	25,736,308
Jul 12, 2021	310.80	312.00	306.10	307.45	307.45	32,282,319
Jul 09, 2021	305.80	308.85	301.85	306.30	306.30	48,807,214
Jul 08, 2021	314.80	314.80	305.00	306.35	306.35	87,360,324
Jul 07, 2021	316.00	319.10	306.25	317.10	317.10	112,183,313
Jul 06, 2021	348.00	358.20	311.50	316.90	316.90	164,083,830
Jul 05, 2021	347.05	350.10	344.00	346.10	346.10	18,399,524
Jul 02, 2021	345.30	345.55	340.50	344.90	344.90	18,304,387
Jul 01, 2021	341.50	347.40	341.20	344.25	344.25	27,944,816
Jun 30, 2021	342.00	345.35	338.85	339.60	339.60	18,277,841
Jun 29, 2021	342.65	346.50	339.60	341.55	341.55	22,462,297
Jun 28, 2021	340.80	345.00	337.55	342.80	342.80	17,843,975
Jun 25, 2021	335.90	342.80	335.90	339.65	339.65	22,426,352
Jun 24, 2021	335.00	337.40	333.35	334.65	334.65	15,580,223
Jun 23, 2021	341.00	343.25	334.30	335.25	335.25	25,741,628
Jun 22, 2021	337.10	344.30	336.15	337.90	337.90	26,708,459
Jun 21, 2021	330.90	335.80	326.20	334.30	334.30	29,123,887
Jun 18, 2021	345.65	346.90	329.00	337.40	337.40	49,440,514
Jun 17, 2021	348.40	352.90	342.25	345.65	345.65	29,236,974
Jun 16, 2021	350.10	356.00	348.10	349.35	349.35	27,550,588
Jun 15, 2021	355.75	360.75	351.50	352.70	352.70	35,526,159
Jun 14, 2021	350.05	357.90	341.10	355.95	355.95	38,482,142
Jun 11, 2021	346.00	352.90	344.35	350.75	350.75	36,441,967
Jun 10, 2021	345.20	347.85	342.40	344.75	344.75	24,351,860
Jun 09, 2021	356.20	358.90	339.75	343.35	343.35	59,334,814
Jun 08, 2021	346.25	356.65	337.50	352.75	352.75	44,104,954
Jun 07, 2021	339.75	351.00	339.75	345.50	345.50	64,986,814
Jun 04, 2021	325.15	336.90	324.25	334.95	334.95	41,278,749
